2017-01-23 12:38:06 Source:DatabaseInterface.loadCraftedWeaponCaps() | Unknown schematic type for weapon schematic attribute addition on crafted item name object/weapon/ranged/grenade/shared_grenade_proton.iff, schematic index 973 | SEV: CRITICAL
2017-01-23 12:38:06 Source:DatabaseInterface.loadCraftedWeaponCaps() | Unknown schematic type for weapon schematic attribute addition on crafted item name object/weapon/ranged/grenade/shared_grenade_thermal_detonator.iff, schematic index 1191 | SEV: CRITICAL
2017-01-23 12:38:06 Source:DatabaseInterface | Database Preload Completed. | SEV: INFO
2017-01-23 12:38:06 Source:SWGGui | Database Interface constructed. | SEV: INFO
2017-01-23 12:38:06 Source:SWGGui | Creating Login Server... | SEV: INFO
2017-01-23 12:38:06 Source:LoginServerZoneTransciever | LoginZoneTransciever listening on address 0.0.0.0/0.0.0.0:35000 | SEV: INFO
2017-01-23 12:38:06 Source:SWGGui | Creating Zone Server... | SEV: INFO
2017-01-23 12:38:06 Source:SWGGui | GUI Creation complete. | SEV: INFO
2017-01-23 12:38:06 Source:SWGGui | Using 56744496 bytes of 257425408 VM available.  Free: 200680912 bytes. | SEV: INFO
2017-01-23 12:38:06 Source:SWGGui | GUI running. | SEV: INFO
2017-01-23 12:38:06 Source:ZoneServer() | Zone server initializing... | SEV: INFO
2017-01-23 12:38:06 Source:ZoneServer() | Set up planet positional grid. | SEV: INFO
2017-01-23 12:38:06 Source:ZoneServer() | Planet positional grid setup complete. | SEV: INFO
2017-01-23 12:38:06 Source:DatabaseInterface | InitializeStaticObjects | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=-8192.0, y=-5632.0 Object ID:2935513 | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | coords: x[-8464.68], y[-5617.58], planet[terrain/rori.trn] | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Item type: object/static/particle/shared_pt_poi_droid_weld_sparks.iff | SEV: INFO
